"ipc-image src","ipc-lockup-overlay href","ipc-signpost__text","ipc-title-link-wrapper href","ipc-title__text","sc-99e9da6e-6","sc-99e9da6e-6 2","sc-99e9da6e-6 3","ipc-rating-star--rating","ipc-rating-star--voteCount"
"https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0103064/?ref_=chttp_i_28","#28","https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28","Terminator 2: Judgment Day","1991","2h 17m","R","8.6","(1.3M)"
"https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg","https://www.imdb.com/title/tt0076759/?ref_=chttp_i_29","#29","https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29","Star Wars: Episode IV - A New Hope","1977","2h 1m","PG","8.6","(1.6M)"
"https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg","https://www.imdb.com/title/tt0088763/?ref_=chttp_i_30","#30","https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30","Back to the Future","1985","1h 56m","PG","8.5","(1.4M)"
"https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0245429/?ref_=chttp_i_31","#31","https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31","Spirited Away","2001","2h 4m","PG","8.6","(963K)"
"https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg","https://www.imdb.com/title/tt0253474/?ref_=chttp_i_32","#32","https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32","The Pianist","2002","2h 30m","R","8.5","(1M)"
"https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0172495/?ref_=chttp_i_33","#33","https://www.imdb.com/title/tt0172495/?ref_=chttp_t_33","Gladiator","2000","2h 35m","R","8.5","(1.8M)"
"https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt6751668/?ref_=chttp_i_34","#34","https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34","Parasite","2019","2h 12m","R","8.5","(1.2M)"
"https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0095327/?ref_=chttp_i_35","#35","https://www.imdb.com/title/tt0095327/?ref_=chttp_t_35","Grave of the Fireflies","1988","1h 28m","Not Rated","8.5","(383K)"
"https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0054215/?ref_=chttp_i_36","#36","https://www.imdb.com/title/tt0054215/?ref_=chttp_t_36","Psycho","1960","1h 49m","R","8.5","(783K)"
"https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0110357/?ref_=chttp_i_37","#37","https://www.imdb.com/title/tt0110357/?ref_=chttp_t_37","The Lion King","1994","1h 28m","G","8.5","(1.3M)"
